平台,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表,平台
,/订座online(#597),店铺订座信息,"1、已在offline配置订座要求、订座价格信息
2、已进入店铺详情页",1. 点击订座,"1. 进入订座页面，（1）图片为店铺第一张小图
（2）店铺名：店铺名+“代订座”
（3）订座要求：显示为offline配置的店铺页订座说明
（4）订座价格：显示为offline配置的市场价和招行价。招行价为真正的支付价格",店铺订座信息,1,功能测试,功能测试阶段,,,功能测试阶段,
,/订座online(#597),订座流程,1、已进入店铺详情页,1. 点击订座,1. 进入订座页面，订座信息卡显示为1填写订单信息并支付，2若定做成功，收到电子凭证邮件，3凭电子凭证到店消费,订座卡片,1,功能测试,功能测试阶段,,,功能测试阶段,
,/订座online(#597),订座产品说明,"1、已进入店铺详情页
2、已在offline配置订座产品说明",1. 点击订座,1. 进入订座页面，订座产品说明现在正确，与在offline中的配置一致,订座卡片,1,功能测试,功能测试阶段,,,功能测试阶段,
,/订座online(#597),订座产品详情,"1、已进入店铺详情页
2、已在offline配置订座产品详情",1. 点击订座,1. 进入订座页面，订座产品详情现在正确，与在offline中的配置一致,订座卡片,1,功能测试,功能测试阶段,,,功能测试阶段,
,/订座online(#597),用餐时间-不选择日期,"1、已在offline配置订座时刻信息
2、已进入店铺详情页
","1. 点击订座
2. 点击用餐时间右侧的箭头按钮
3. 点击最近可勾选的日期","1.  进入订座页面
2. 进入用餐日期选择
，头部展示最近的3个或5个日期，最右边是更多日期的按钮，点击可以进入日历页面选择更多日期。每次仅可点击勾选1个日期，选择日期后，下方显示可以选择的时刻。
当天库存为空的日期置灰，不可勾选。
客户默认勾选最近可勾选的日期
3.日期都处于没有勾选状态，时刻选择栏位为空；在时刻选择栏位上方，有说明文字，提示客户选择备选时间有助于提高订座成功率。",用餐时间,1,功能测试,功能测试阶段,,,功能测试阶段,
,/订座online(#597),用餐时间-切换日期,"1、已在offline配置订座时刻信息
2、已进入店铺详情页
","1. 点击订座
2. 点击用餐时间右侧的箭头按钮
3. 点击第二个可选日期","1.  进入订座页面
2. 进入用餐日期选择，客户默认勾选最近可勾选的日期
3. 第二个日期处于选中状态，下方对应的时刻选择数据随之刷新为第二个日期对应的时间段。",用餐时间,1,功能测试,功能测试阶段,,,功能测试阶段,
,/订座online(#597),用餐时间-更多日期选择确定,"1、已在offline配置订座时刻信息
2、已进入店铺详情页
","1. 点击订座
2. 点击用餐时间右侧的箭头按钮
3. 点击更多日期
4. 选择某一日期
5. 点击确定","1.  进入订座页面
2. 进入用餐日期选择，客户默认勾选最近可勾选的日期
3. 弹出选择更多日期界面，进入日历样式，头部为显示的年月，下方为该月份下的日期，客户可以在头部快速修改月份，并在下方快速定位到日期。
4.该日期处于选中状态
5.返回用餐日期选择界面，同时选中的日期显示在该界面",用餐时间,1,功能测试,功能测试阶段,,,功能测试阶段,
,/订座online(#597),用餐时间-更多日期选择取消,"1、已在offline配置订座时刻信息
2、已进入店铺详情页
","1. 点击订座
2. 点击用餐时间右侧的箭头按钮
3. 点击更多日期
4. 选择某一日期
5. 点击取消","1.  进入订座页面
2. 进入用餐日期选择，客户默认勾选最近可勾选的日期
3. 弹出选择更多日期界面，进入日历样式，头部为显示的年月，下方为该月份下的日期，客户可以在头部快速修改月份，并在下方快速定位到日期。
4.该日期处于选中状态
5.返回用餐日期选择界面，同时选中的日期不显示在该界面",用餐时间,1,功能测试,功能测试阶段,,,功能测试阶段,
,/订座online(#597),用餐时间-更多日期未选择确定,"1、已在offline配置订座时刻信息
2、已进入店铺详情页
","1. 点击订座
2. 点击用餐时间右侧的箭头按钮
3. 点击更多日期
4. 点击确定","1.  进入订座页面
2. 进入用餐日期选择，客户默认勾选最近可勾选的日期
3. 弹出选择更多日期界面，进入日历样式，头部为显示的年月，下方为该月份下的日期，客户可以在头部快速修改月份，并在下方快速定位到日期。
4.返回用餐日期选择界面，显示默认日期",用餐时间,1,功能测试,功能测试阶段,,,功能测试阶段,
,/订座online(#597),用餐时间-更多日期未选择取消,"1、已在offline配置订座时刻信息
2、已进入店铺详情页
","1. 点击订座
2. 点击用餐时间右侧的箭头按钮
3. 点击更多日期
4. 点击取消","1.  进入订座页面
2. 进入用餐日期选择，客户默认勾选最近可勾选的日期
3. 弹出选择更多日期界面，进入日历样式，头部为显示的年月，下方为该月份下的日期，客户可以在头部快速修改月份，并在下方快速定位到日期。
4.返回用餐日期选择界面，显示默认日期",用餐时间,1,功能测试,功能测试阶段,,,功能测试阶段,
